name	rawTweet	date
1242399324434096128	@sweet_melissa80 @330bluemoon @SexCounseling @realDonaldTrump Is that why Trump is begging China and Russia for med… https://t.co/wRimql2r0O	Apr 03 2020
3294942553	"RT @RealCandaceO: It’s hard to imagine Jemele Hill in a more ass-stupid context but here we go—
@jemelehill is here to remind you all that…"	Apr 03 2020
417227900	RT @DeniseGst: So just a thought. Robert Craft sent his plane to China to get masks for America.  But  #3M is selling their masks to China.…	Apr 03 2020
585263233	RT @BreitbartNews: America must break free of Communist China's grip on U.S. supply chains in all industries. https://t.co/ne8sCukLLN	Apr 03 2020
976555530	"RT @RealCandaceO: It’s hard to imagine Jemele Hill in a more ass-stupid context but here we go—
@jemelehill is here to remind you all that…"	Apr 03 2020
1173525207908323328	RT @BreitbartNews: America must break free of Communist China's grip on U.S. supply chains in all industries. https://t.co/ne8sCukLLN	Apr 03 2020
471038551	"RT @RealCandaceO: It’s hard to imagine Jemele Hill in a more ass-stupid context but here we go—
@jemelehill is here to remind you all that…"	Apr 03 2020
772243140	"RT @RealCandaceO: It’s hard to imagine Jemele Hill in a more ass-stupid context but here we go—
@jemelehill is here to remind you all that…"	Apr 03 2020
1922121733	"RT @RealCandaceO: It’s hard to imagine Jemele Hill in a more ass-stupid context but here we go—
@jemelehill is here to remind you all that…"	Apr 03 2020
1240087819210678274	Many if not most of these U.S. companies also caused the medical &amp; other supply shortages. They moved their product… https://t.co/tgYYGGNRXD	Apr 03 2020
2191516176	RT @penelopesire: @3M Get out of bed with Communist China and put America first. Stop selling all your stock to foreign co of ies for cash!	Apr 03 2020
964959062839517184	"RT @Nigel_Farage: It is quite frankly unbelievable that flights are still coming in from China, America and Italy. 

When the history book…"	Apr 03 2020
112287707	"RT @RealCandaceO: It’s hard to imagine Jemele Hill in a more ass-stupid context but here we go—
@jemelehill is here to remind you all that…"	Apr 03 2020
2262874359	"RT @RealCandaceO: It’s hard to imagine Jemele Hill in a more ass-stupid context but here we go—
@jemelehill is here to remind you all that…"	Apr 03 2020
2322249418	RT @BreitbartNews: America must break free of Communist China's grip on U.S. supply chains in all industries. https://t.co/ne8sCukLLN	Apr 03 2020
1136403696655450113	RT @BreitbartNews: America must break free of Communist China's grip on U.S. supply chains in all industries. https://t.co/ne8sCukLLN	Apr 03 2020
976111211514245121	"RT @RealCandaceO: It’s hard to imagine Jemele Hill in a more ass-stupid context but here we go—
@jemelehill is here to remind you all that…"	Apr 03 2020
1224845889849696260	RT @BreitbartNews: America must break free of Communist China's grip on U.S. supply chains in all industries. https://t.co/ne8sCukLLN	Apr 03 2020
788881459692003328	"RT @gbroh10: @POTUS ANNOUNCES MAJOR DRUG INTERDICTION TARGETING CENTRAL AMERICAN CARTELS @TheLastRefuge2 

#DrugCartelWar

""In the bigger p…"	Apr 03 2020
2859643392	RT @BreitbartNews: America must break free of Communist China's grip on U.S. supply chains in all industries. https://t.co/ne8sCukLLN	Apr 03 2020
908535241	RT @PolitixGal: China Is Preparing to Start a War with America https://t.co/zBmA23gMjX	Apr 03 2020
774481471490764800	RT @pearsonified: Although we can get stuffed animals for $0.86 apiece and iPhones for $1000, we haven't done a full accounting of the cost…	Apr 03 2020
782737922638295040	RT @MattWalshBlog: The bureaucrats who let 700,000 travelers from China enter America while the virus was ravaging their country would like…	Apr 03 2020
3958792877	"RT @CharlieDaniels: America has to make a decision about our future dealing with China
Letting them manufacture America’s medicine is the d…"	Apr 03 2020
860767507	RT @BreitbartNews: America must break free of Communist China's grip on U.S. supply chains in all industries. https://t.co/ne8sCukLLN	Apr 03 2020
2180335990	RT @BreitbartNews: America must break free of Communist China's grip on U.S. supply chains in all industries. https://t.co/ne8sCukLLN	Apr 03 2020
