name	rawTweet	date
MadSweeneyHH🥃	@SpaceSGM The #miltwitter is changed. I feel it in the water, and in the earth. I smell it in the air. Much that on… https://t.co/qFgeeA7Qgm	Feb 08 2020
Benjamin Jones	Special thanks to CSM Perez for inviting me out for PT. Had the great opportunity to conduct an ACFT circuit with… https://t.co/V5jUigcNA8	Feb 08 2020
Not ready to go back to work guy	@sgtjanedoe I'm just really annoyed we went to the ACFT right before I moved into the next age bracket	Feb 08 2020
Olivia	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Feb 08 2020
Ma’amal Boots	Ooh! But, a WIAS tasking for IRQ or AFG will quickly grant him the luck he needs with ACFT leg tuck and/or AR 600-9… https://t.co/XE7PZEfGah	Feb 08 2020
martin	@Cernovich @realDonaldTrump Well, you have to actually be in the army to take the acft	Feb 08 2020
Fred J Brown	"It is a sad night......tonight.....I shave off my goatee I’ve had since Nov. 

Tomorrow I take on the 1st practice #ACFT on Fort Lee."	Feb 08 2020
Patrick Donahoe	RT @1BCT10MTN: 1-32 Infantry ran multiple #ACFT iterations this week, improving Soldier confidence in the events and increasing individual…	Feb 08 2020
Dan Sproul	@Cernovich What about the ACFT? The APFT is so last year, only the Reserves are doing that anymore. Sprint-Drag-Car… https://t.co/AS5LodMtAx	Feb 08 2020
Shepperoni Supreme 👌🏻	So apparently we’re taking the very last APFT before the ACFT tomorrow. and ya boy isn’t anywhere near in shape for… https://t.co/D6SuH0M56w	Feb 08 2020
Heather Yun	@howiethedoc @wrbchiefs @laxswamy @BlakeCirks @NCCPeds @DocWoc71 @peyoungmd @tedoconnell @DrVanEcho @DocWinWin… https://t.co/abnXKRMj5u	Feb 08 2020
Christopher G Ingram	@BlackFish775 @PanelSGM4 IAW the HQDA EXORD, 15MAR is the NLT date all Soldiers are supposed to complete their fina… https://t.co/iQT0d9ykk4	Feb 08 2020
