name	rawTweet	date
George Colson	"RT @USArmy: Physical fitness is fundamental to our #Readiness. 

Units have already started receiving the equipment needed to train for and…"	Feb 13 2020
ThatGuy	@broadcastmike The ACFT isn’t that hard.	Feb 13 2020
pedialyte pyland	Angry asf in the gym because my mos is in the same category as infantry for the acft...	Feb 13 2020
Mio Phoenix	НОРМАТИВ по ФИЗО US ARMY 2020. ACFT. Физическая подготовка Армия США. Ру... https://t.co/DTvsDztb2v via @YouTube	Feb 13 2020
Kara Greene	Breaking down the leg tuck for everyone else sweating this ACFT event. https://t.co/vRYxaLWGJl	Feb 13 2020
Sol Sukut 20+C+B+M+20 & Alive at Conception	"#Fitness
4 mi #running at 80% 10k pace. Legs were heavy.

#ACFT circuits 4x of:
Dead lift 3x240/310/310/310
25 hand… https://t.co/6ODob9e6md"	Feb 13 2020
Eric 🥃	RT @KaraMGreene: Breaking down the leg tuck for everyone else sweating this ACFT event.	Feb 13 2020
John Sisino	RT @natehale: @TheNumba1Guy More than 170 of those combat missions were flown in RF-4C recce jets over Vietnam.  Their motto was “alone, un…	Feb 13 2020
natehale	@TheNumba1Guy More than 170 of those combat missions were flown in RF-4C recce jets over Vietnam.  Their motto was… https://t.co/7Q1eMvHlkG	Feb 13 2020
TheGoodGirl	RT @natehale: @TheNumba1Guy More than 170 of those combat missions were flown in RF-4C recce jets over Vietnam.  Their motto was “alone, un…	Feb 13 2020
Alexlexus /ZXpredator	Wrapping up  training for the day. I pushed it today. To a point  i completely  gave out. Ran 1.5 at level  7 pace.… https://t.co/zWWwhRaxmc	Feb 13 2020
jason in flagstaff	RT @natehale: @TheNumba1Guy More than 170 of those combat missions were flown in RF-4C recce jets over Vietnam.  Their motto was “alone, un…	Feb 13 2020
ぷだふと	"なにこれやりたい…
春まで待ってよお…………
https://t.co/SaPJo9tDdd"	Feb 13 2020
Efe Cem Elci	@BizNasty2point0 I believe airlines minimizing space b/w seats to a point where reclining inhibits someone not (whi… https://t.co/eeUmg13UCI	Feb 13 2020
Garrett	I just slaughtered the ACFT	Feb 13 2020
Peter Kang (康弼瑄), MD, MBA	@ScottTruhlar @InvictaOrtho @W1ldMD As a veteran, I think Step 1 is like the physical fitness test I took in the Ar… https://t.co/tOE9c4V2BY	Feb 13 2020
LOWI SPOTTER INFO	Special visitor today:Air Hamburg arr: 13:30 from: BUD acft: E35L	Feb 13 2020
LilLex®	highest female acft score in my company, not much but it’s a great fucking start	Feb 13 2020
🔞🔥RAZ🔥LOCALIZATION DEFENSE SQUAD🔥🔞	@JudgementKinsey YEAH. Like.. only person who acft stood up to him and like.. he really respects that. Wants to lea… https://t.co/GEMfCGb1vK	Feb 13 2020
D Yang	RT @natehale: @TheNumba1Guy More than 170 of those combat missions were flown in RF-4C recce jets over Vietnam.  Their motto was “alone, un…	Feb 13 2020
風鳴翔XV	えっ･･･チェーンスライド音どうした！？FTDXの方がチェーンスライド音好きなんだけど･･･ACFTからあの譜面の動画見てるからかなぁ･･･	Feb 13 2020
ashley	"i’m getting fucked this valentine’s day.

but by the army.

guess who gotta take the ACFT?"	Feb 13 2020
SNAFU SGT	Doing the acft in sneakers vs your Army boots... whole other slip n slide workout. I’ve done the events in uniform… https://t.co/RGxaBH6ahs	Feb 13 2020
Leslie Ann Sully	@SVMcpherson @wolo25 @fortjackson @fortjacksoncg @USArmy Having fun out here @fortjackson with @USArmy @TRADOC… https://t.co/hs6WkX9ZH9	Feb 13 2020
Dan Szyman	@RPG_volley Does it have ACFT score calculator?	Feb 13 2020
