name	rawTweet	date
CMN Canadian Military News	The Army Has a Physical Fitness Problem, Part 1: Eight Myths that Weaken Combat Readiness - Modern War Institute… https://t.co/Kpu35zD7o0	Jan 28 2020
Michael Berard	"RT @WarInstitute: ""This recurring loss of fitness is unnecessary and occurs when leaders at all levels view physical training and tactical…"	Jan 28 2020
Susan smith	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 28 2020
Modern War Institute	"""This recurring loss of fitness is unnecessary and occurs when leaders at all levels view physical training and tac… https://t.co/Ap29irxQfb"	Jan 28 2020
ladybug patriot	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 28 2020
George Manson	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 28 2020
George Manson	"RT @USArmy: The Army Combat Fitness Test is here to better connect fitness with combat readiness for all Soldiers.

What are you doing to g…"	Jan 28 2020
George Manson	"RT @USArmy: .@KYNGrecruiting is the first #USArmy component to receive equipment for the Army Combat Fitness Test.

The @USNationalGuard wi…"	Jan 28 2020
tomchandler9000	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 28 2020
ArmyPublicHealth	"Training tips for the Army Combat Fitness Test. 
https://t.co/QdZ8vyDKqH"	Jan 28 2020
OperatorMag	"Quick Dry Army Combat Shirt - OperatorMag
Feature: Tactical Fitness Camo Breathable Windproof No Pilling No Shrink… https://t.co/zoXbNuVlM3"	Jan 28 2020
Dr. Justin Imel, Sr.	82nd Combat Aviation Brigade Leaders Take New Army Combat Fitness Test https://t.co/ltchRWrQCd	Jan 28 2020
Maria Cristina Barbosa	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 28 2020
Mustafa Alzubaidi	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 28 2020
David B Anderson	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 28 2020
toddhassinger111 🇺🇸🇯🇵🏴‍☠️	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 28 2020
ＳtandAloneComplex	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 28 2020
Modern War Institute	"""Everything I do is PT"" and eight other myths about physical fitness that erode Army unit's combat readiness. https://t.co/T3rkKaWUKR"	Jan 28 2020
Trump Lioness	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 28 2020
Dennis Weidenbush	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 28 2020
Stancy	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 28 2020
RILEY🐸💜🇺🇸⭐⭐⭐Text TRUMP TO 88022	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 28 2020
