name	rawTweet	date
ItsDecade20	@troskybaseball @BlueRaidersBall Ya. Virabrahdrasana is what it’s called (lyengar method, obviously) make sure you… https://t.co/unF23A2h0P	Feb 01 2020
Yasmin Aguilar	I’ve been practicing for this damn leg tuck so often that I think my arms are gonna fall off	Feb 01 2020
Most Res	@MangerRaymond @ManUpUAll EXACTLY! Peep the bent leg tuck of the leg that landed. She KNEW she was about to catch a body after that. Lol	Feb 01 2020
nae	They gone see these WEALTHY socks idgaf if I gotta tuck my pants leg in them bitches	Feb 01 2020
Soul Soldier	RT @most_res: @MangerRaymond @ManUpUAll EXACTLY! Peep the bent leg tuck of the leg that landed. She KNEW she was about to catch a body afte…	Feb 01 2020
MadSweeneyHH🥃	@orantesWebDev @WTFIOGuy @Accidental_E9 @SGMtheMan1 @102ndblackhawk6 @M1A2_Kilo_Zulu @NCFranklin @PanelExpertSGMs… https://t.co/sDXMGls5pV	Feb 01 2020
Obamacrat4Ever	RT @most_res: @MangerRaymond @ManUpUAll EXACTLY! Peep the bent leg tuck of the leg that landed. She KNEW she was about to catch a body afte…	Feb 01 2020
love&energy2020	super panda seems to have legit fucked his knee/leg badly in his big break. world is a tuck... hang in there super panda	Feb 01 2020
Δ	Haven’t tried dragon flag in so long and I’m almost at a full one!!!!! At one single leg and one almost advanced tuck. HELL YEAH	Feb 01 2020
Nuance Is My Drug	@Seun88 😂... The one where he did an extended leg tuck? (I dunno what else to call it) was the winner in my eyes.	Feb 01 2020
ً	@yyellek 😂😂😂 they got me fucked up, i did one leg tuck and they looked at me crazy	Feb 01 2020
D-Ware	"No equipment, no excuses. 9 exercise HIIT circuit 👀 #SBLIV
1.Pop up to High Knees]
2.Core Leg Kicks w V-Up 
3.Squat… https://t.co/1dhrGXrUnU"	Feb 01 2020
Wes Cantrell 🗽	"RT @DeMarcusWare: No equipment, no excuses. 9 exercise HIIT circuit 👀 #SBLIV
1.Pop up to High Knees]
2.Core Leg Kicks w V-Up 
3.Squat Jump…"	Feb 01 2020
'N Bake	"RT @DeMarcusWare: No equipment, no excuses. 9 exercise HIIT circuit 👀 #SBLIV
1.Pop up to High Knees]
2.Core Leg Kicks w V-Up 
3.Squat Jump…"	Feb 01 2020
Boise State Hippie	"RT @DeMarcusWare: No equipment, no excuses. 9 exercise HIIT circuit 👀 #SBLIV
1.Pop up to High Knees]
2.Core Leg Kicks w V-Up 
3.Squat Jump…"	Feb 01 2020
Dra'	"RT @DeMarcusWare: No equipment, no excuses. 9 exercise HIIT circuit 👀 #SBLIV
1.Pop up to High Knees]
2.Core Leg Kicks w V-Up 
3.Squat Jump…"	Feb 01 2020
Bryan Morgan	"RT @DeMarcusWare: No equipment, no excuses. 9 exercise HIIT circuit 👀 #SBLIV
1.Pop up to High Knees]
2.Core Leg Kicks w V-Up 
3.Squat Jump…"	Feb 01 2020
hann	@faridaamr234 @1onlyMa TUCK THE EXCESS INTO THE SHOES DONT TIE IT AROUND YOUR LEG	Feb 01 2020
Kat	"RT @DeMarcusWare: No equipment, no excuses. 9 exercise HIIT circuit 👀 #SBLIV
1.Pop up to High Knees]
2.Core Leg Kicks w V-Up 
3.Squat Jump…"	Feb 01 2020
KingOfKings7	"RT @DeMarcusWare: No equipment, no excuses. 9 exercise HIIT circuit 👀 #SBLIV
1.Pop up to High Knees]
2.Core Leg Kicks w V-Up 
3.Squat Jump…"	Feb 01 2020
Derald Deason	"RT @DeMarcusWare: No equipment, no excuses. 9 exercise HIIT circuit 👀 #SBLIV
1.Pop up to High Knees]
2.Core Leg Kicks w V-Up 
3.Squat Jump…"	Feb 01 2020
Kassi Rooney	"RT @DeMarcusWare: No equipment, no excuses. 9 exercise HIIT circuit 👀 #SBLIV
1.Pop up to High Knees]
2.Core Leg Kicks w V-Up 
3.Squat Jump…"	Feb 01 2020
JaY	"RT @DeMarcusWare: No equipment, no excuses. 9 exercise HIIT circuit 👀 #SBLIV
1.Pop up to High Knees]
2.Core Leg Kicks w V-Up 
3.Squat Jump…"	Feb 01 2020
