date	label	text
 2020 Mar 26 01:56:13	2	そういえばICPCのチーム名niu_mogu_moguになりそうなんだよな
 2020 Mar 26 01:55:01	1	#CyberDigest | White House Announces New Partnership to Unleash U.S. Supercomputing Resources to Fight COVID-19 | https://t.co/VXJhGG0JvA
 2020 Mar 26 01:40:47	0	"部員の半数弱、プログラミングをしています！
競プロはICPCに2チームが出場、うち1チームは国内予選を突破しております🌈
現在の部員数は26人です！ 

#Peing #質問箱 https://t.co/u3LFUa38hA"
 2020 Mar 26 01:38:15	1	"RT @rachaelmoses: #COVID19 #Physiotherapists:
We have established the International COVID19 Physiotherapy Collaborative (ICPC) 

In &lt;24 hou…"
 2020 Mar 26 01:36:57	2	I don't know, @HouseNGR, what other facilities did u consider? I won't necessarily rule out anything depending on s… https://t.co/ldm6jmKwGZ
 2020 Mar 26 01:36:00	1	#CyberDigest | U.S. cybersecurity experts see recent spike in Chinese digital espionage | https://t.co/xWUWL3DBhj
 2020 Mar 26 01:16:00	1	"RT @rachaelmoses: #COVID19 #Physiotherapists:
We have established the International COVID19 Physiotherapy Collaborative (ICPC) 

In &lt;24 hou…"
 2020 Mar 26 01:14:01	1	#CyberDigest | Twitter Says Beijing’s Coronavirus Lies Are Just Fine | @lachlan | https://t.co/5b50kSjDSd
 2020 Mar 26 01:09:05	2	so these chicks made a snapchat groupchat with literally everyone from icpc and idk I feel honored this is so cute
 2020 Mar 26 01:04:15	1	RT @icpc_cds_kano: Going Out in this pandemic period is an act of corruption, you’re corrupting other people’s chance of stayin safe and al…
 2020 Mar 26 00:57:00	1	#CyberDigest | China adopts Russia's disinformation playbook | @BethanyAllenEbr | https://t.co/Hh4M08WrUD
 2020 Mar 26 00:52:00	1	#CyberDigest | China Is Trying to Rewrite The Present | @limlouisa | https://t.co/776EVr4NgN
 2020 Mar 26 00:44:13	1	@ICPC_PE Someone can’t just take small self loan  ??? 😂🤣😅😂
 2020 Mar 26 00:33:00	1	#CyberDigest | How Telegram became a refuge for WeChat users during the coronavirus outbreak | @shenxinmei | https://t.co/HpYYePb2dP
 2020 Mar 26 00:17:45	0	RT @UdemeNG: Dear people of #RiversSouthEast Sen. Mpigi Barinada has nominated 4 projects worth N222 million in the #2020ZIP. Please follow…
 2020 Mar 26 00:13:01	1	#CyberDigest | Tencent launches videoconferencing app overseas amid coronavirus pandemic | @YanziDeng_Iris | https://t.co/mzN0hgeXeK
 2020 Mar 26 00:02:01	1	#CyberDigest | Deal with ISPs to block terror attack websites | @andrewtillett | https://t.co/MQu01r2uLA
 2020 Mar 26 00:01:51	1	RT @marcecheverry02: Porfisss que la cuarentena no me obligue a descargar tik tok, ni a jugar 🍑 con el papel higiénico 🥴😔.
 2020 Mar 25 23:48:00	1	#CyberDigest | Mobile phone industry explores worldwide tracking of users | @skirchy | https://t.co/ZydnkReHng
 2020 Mar 25 23:34:01	1	#CyberDigest | Chinese hackers hit Citrix, Cisco vulnerabilities in sweeping campaign | @shanvav | https://t.co/3maQXtWtqf
 2020 Mar 25 23:31:00	1	"RT @ASPI_ICPC: Today's issue of the @ASPI_ICPC Cyber Digest is out — check your inboxes! 

• Subscribe here: https://t.co/Y9MGFvPMXy 

• Re…"
 2020 Mar 25 23:30:23	1	"Today's issue of the @ASPI_ICPC Cyber Digest is out — check your inboxes! 

• Subscribe here:… https://t.co/eTxMvdzQuP"
 2020 Mar 25 23:10:29	2	@ICPC_PE Good judgement. He gonna be Prison Pilgrim (PP). Afterwards, all na pilgrimage
 2020 Mar 25 23:06:51	2	Court orders ICPC to vary  Obono-Obla’s bail conditions - https://t.co/gJh9hnXBB6 https://t.co/QAOD7okEx2
 2020 Mar 25 23:03:23	1	@AirborneCoitus @JM38109282 @XRebellionUK You really should read the science more closely. There is virtual unanimi… https://t.co/gfKSrvPlQ3
 2020 Mar 25 22:51:13	1	@AirborneCoitus @JM38109282 @XRebellionUK Always going to be the odd study bucks the trend, particularly if scienti… https://t.co/zv0MjRKHqt
 2020 Mar 25 22:50:25	1	"RT @rachaelmoses: #COVID19 #Physiotherapists:
We have established the International COVID19 Physiotherapy Collaborative (ICPC) 

In &lt;24 hou…"
 2020 Mar 25 22:48:26	1	RT @fryan: so the answer to that is clearly no https://t.co/rALMZrBd0Z
 2020 Mar 25 22:48:23	1	RT @fryan: They’re really good at this. Is the Australian govt taking note? https://t.co/F7MDLC1baZ
 2020 Mar 25 22:47:54	1	RT @elisethoma5: The same Facebook groups are also being used to promote conspiracy theories that 'Patient Zero' for the virus was a member…
 2020 Mar 25 22:47:51	1	"RT @elisethoma5: It's interesting to see how China's efforts to pivot the narrative of the Belt and Road Initiative to the ""Health Silk Roa…"
