date	label	text
 2020 Apr 02 23:37:51	2	"RT @Crapplefratz: @TruthAbtChina Yes. It's legal in Japan for an establishment (usually a bar or restaruant) to post a sign saying ""No Gaij…"
 2020 Apr 02 23:37:50	1	"RT @9HUrne5nPVQ7p5h: Happy morning Twitterworld!🌸🍀🌸🍀🌸🍀🌸🍀🌸🍀🌸🍀
゜☆♫•·⋅✩ ✩⋅·•♫☆　゜゜☆♫•·⋅✩ ✩⋅·•♫☆　゜゜☆♫•·⋅✩
The morning sun that comes from the ch…"
 2020 Apr 02 23:37:48	2	RT @jt_mag_os: Japan Twitter reacts to Abe’s plan to distribute “2 masks per household” https://t.co/m8yHipjtv7
 2020 Apr 02 23:37:48	1	RT @DonaldJTrumpJr: Holding the liberal media accountable during the COVID-19 pandemic - Washington Times https://t.co/rT1Q33kTbj
 2020 Apr 02 23:37:48	2	"RT @juntaba1: The reason why there are few deaths due to COVID -19 in Japan. 
Masks are also in short supply here. 
However, many Japanese…"
 2020 Apr 02 23:37:48	2	"RT @pledis_17jp: [#SEVENTEEN JAPAN NEWS]
＜TV＞4月3日(金) あさ4時25分～5時50分  TBS「はやドキ！」
SEVENTEENの映像をオンエア！
※一部地域を除く
※番組の都合により、変更となる可能性がございます。あらかじめご了…"
 2020 Apr 02 23:37:47	0	"RT @btsworldwider: Top Countries with the most BTS songs charting on Spotify:

1. 🇻🇳Vietnam (27)🔥👑
2. 🇲🇾Malaysia (12)
3. 🇹🇭Thailand (6)
4.…"
 2020 Apr 02 23:37:47	2	RT @PalmerReport: Just how badly has Trump fucked up the U.S. coronavirus response? Japan has now banned Americans from entering the countr…
 2020 Apr 02 23:37:47	2	RT @GeorgePapa19: The US and Russia both have primary markets for energy exports in the EU and China/Japan/South Korea. That’s where they c…
 2020 Apr 02 23:37:46	1	"RT @SenSanders: Number of people who have no health insurance:
 
🇰🇷South Korea: 0
🇨🇦Canada: 0
🇹🇼Taiwan: 0
🇯🇵Japan: 0
🇩🇪Germany: 0
🇸🇬Singapo…"
 2020 Apr 02 23:37:46	2	RT @PalmerReport: Just how badly has Trump fucked up the U.S. coronavirus response? Japan has now banned Americans from entering the countr…
 2020 Apr 02 23:37:46	2	RT @Igadevil: It’s April 3rd in Japan time, and that means the 49th anniversary of my favorite tokusatsu series of them all, the original K…
 2020 Apr 02 23:37:46	2	📔 【衆院本会議】「国民の命と暮らしを守ることが最大の使命。対策に全力を尽くす」と逢坂政調会長 【立憲民主党】 https://t.co/95Wvcmhy8Y #北海道8区
 2020 Apr 02 23:37:45	1	"RT @OzraeliAvi: Japan’s Deputy Prime Minister says the World Health Organization should be renamed the “China Health Organization”.

RETWEE…"
 2020 Apr 02 23:37:44	2	RT @EIegantJapan: The Weeping Stones in Okayama, Japan https://t.co/ricXhyzgOI
 2020 Apr 02 23:37:44	2	RT @EIegantJapan: The Weeping Stones in Okayama, Japan https://t.co/ricXhyzgOI
 2020 Apr 02 23:37:44	1	RT @WWUAthletics: 𝐏𝐑𝐎 𝐕𝐈𝐊𝐒 | Another exciting announcement from @WWU_WSoccer with Karli White signing a professional contract to play for F…
 2020 Apr 02 23:37:44	1	"RT @SenSanders: Number of people who have no health insurance:
 
🇰🇷South Korea: 0
🇨🇦Canada: 0
🇹🇼Taiwan: 0
🇯🇵Japan: 0
🇩🇪Germany: 0
🇸🇬Singapo…"
 2020 Apr 02 23:37:44	2	RT @tbs_news: 新型コロナ、東京で６歳未満男児が重症 https://t.co/88tewm85NM #tbs #tbs_news #japan #news
 2020 Apr 02 23:37:43	1	"RT @SenSanders: Number of people who have no health insurance:
 
🇰🇷South Korea: 0
🇨🇦Canada: 0
🇹🇼Taiwan: 0
🇯🇵Japan: 0
🇩🇪Germany: 0
🇸🇬Singapo…"
 2020 Apr 02 23:37:43	2	"RT @WithTheWill: It's April 3rd in Japan and it's been 4 years since Wada Kouji passed.
Digimon fans remember him well for his music &amp; the…"
 2020 Apr 02 23:37:42	1	RT @KazukiSUGIURA: Zoom使うな、どうしても使わなきゃいけない時はブラウザでやれ、デスクトップアプリはWindows・Mac問わず絶対入れるな、入れてたらアンインストールしろ、という指令が本日全社員に出されました https://t.co/QhgN2llGVk
 2020 Apr 02 23:37:42	2	No but @ my last tweet tricot is having a virtual concert that's only about $10 and until I get monies to go to JAP… https://t.co/7tr6DY0Flb
 2020 Apr 02 23:37:42	2	@Lawrence @Saintsfan5348 Well, Roosevelt did tell England that we were a backup and didn't change that until Japan… https://t.co/xbMXMGml8N
 2020 Apr 02 23:37:42	2	"RT @Locat1ons: Tokyo, Japan 🇯🇵
via: tk_north https://t.co/GE5uYDpced"
 2020 Apr 02 23:37:41	1	"@chirumiru31 おはようございます。いつもありがとうございます。
6月の栃木、7月の京都のなでしこJAPANの試合も中止になってしまいましたね。オリンピックの壮行試合になるはずやったんですよね。昨日はINACの西川彩華選… https://t.co/DnOSp84Qd4"
 2020 Apr 02 23:37:41	2	"@Japan_FSZ ほんとほんと。
しかも旅行行ってもそこにしかないお土産がなくなって買わなくてもいいかってなるw"
 2020 Apr 02 23:37:41	1	"RT @onhi: Happy Thursday! Stay Safe. 

 https://t.co/SBVQMiUv7h"
 2020 Apr 02 23:37:41	2	RT @PalmerReport: Just how badly has Trump fucked up the U.S. coronavirus response? Japan has now banned Americans from entering the countr…
 2020 Apr 02 23:37:41	0	"RT @btsworldwider: Top Countries with the most BTS songs charting on Spotify:

1. 🇻🇳Vietnam (27)🔥👑
2. 🇲🇾Malaysia (12)
3. 🇹🇭Thailand (6)
4.…"
 2020 Apr 02 23:37:41	1	RT @Billboard_JAPAN: 亀と山P、4/29リリースのニューアルバムより「Amor」MV公開 https://t.co/8CjSyfDqvj https://t.co/HEGwWzoKXf
 2020 Apr 02 23:37:40	2	"RT @WithTheWill: It's April 3rd in Japan and it's been 4 years since Wada Kouji passed.
Digimon fans remember him well for his music &amp; the…"
 2020 Apr 02 23:37:40	2	"RT @SJ_NEWS_JP: 【重要】『 #SUPERJUNIOR WORLD TOUR ''SUPER SHOW 8：INFINITE TIME'' in JAPAN』さいたまスーパーアリーナ公演中止へのメンバーコメントです。
今後ともSUPER JUNIORを、応援よろし…"
 2020 Apr 02 23:37:39	1	RT @katsuyatakasu: 「死について話をしておいて」　新型コロナウイルスで英医師たち | 2020/3/31 - BBC NEWS JAPAN https://t.co/TwkPoHc6Bd
 2020 Apr 02 23:37:39	2	@o2bnobx @chrislhayes @atrupar Yea he totally wouldn't of dropped those two nukes on Japan what a jerk, hahaha. Go with slavery next time😂
 2020 Apr 02 23:37:39	2	"A renowned Japanese top-tier company is now producing masks.👏🏻
Right now, Japan has a shortage of masks.😨
First of… https://t.co/LUiLeGoLhc"
 2020 Apr 02 23:37:38	1	"RT @JAPAN_RIDERS: 毎日毎日コロナウィルスの話で自宅待機や時差出勤などしてストレスがたまりますね。余った時間を使い、過去に撮影した写真を整理してJAPAN RIDERSフォトコンテストに応募しませんか？
詳しくはこちらをご覧ください(^^)

https://t…"
 2020 Apr 02 23:37:38	1	"RT @WRO_Japan: 【お知らせ｜WRO Japan 2020 決勝大会の 開催中止について】おはようございます。WRO Japanからのお知らせをホームページに更新致しました！(更新:20/4/2) 詳しくはWebをご確認ください。
https://t.co/GOgz…"
 2020 Apr 02 23:37:38	2	Sony Japan | ニュースリリース | ソニー、1億USドルの新型コロナウイルス・グローバル支援基金を立ち上げ https://t.co/94jwYgZt25
 2020 Apr 02 23:37:37	1	"RT @yoshidakoichiro: やめて下さい。

KDDIとソフトバンク、5Gの合弁会社「5G JAPAN」設立　基地局の整備と相互利用を推進　2020.4.1　ITmedia
https://t.co/bOT3achn2o"
 2020 Apr 02 23:37:37	2	RT @UTsukubaosd: Center for Diversity, Accessibility and Career Development in University of Tsukuba (JAPAN) has hired a staff (called Dax)…
 2020 Apr 02 23:37:37	2	"RT @juntaba1: The reason why there are few deaths due to COVID -19 in Japan. 
Masks are also in short supply here. 
However, many Japanese…"
 2020 Apr 02 23:37:36	1	RT @katsuyatakasu: 「死について話をしておいて」　新型コロナウイルスで英医師たち | 2020/3/31 - BBC NEWS JAPAN https://t.co/TwkPoHc6Bd
 2020 Apr 02 23:37:36	2	RT @rocknrolla_s: 『4月3日はなんの日？』ジャズ・ヴォーカルの女王、サラ・ヴォーンの命日　没後30年 | Daily News | Billboard JAPAN https://t.co/eWfk5I3To6
 2020 Apr 02 23:37:36	2	@theworldindex Japan, Germany, France, Sweden, Netherlands has less cases Vis a Vis their seniors demographic perce… https://t.co/mYCcK7YDF6
 2020 Apr 02 23:37:36	0	"7歳児のチャージャー。その2。
私には出来ません...。
 #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/YkMIgZzPeF"
 2020 Apr 02 23:37:35	1	"@run56206406 
おめでとうございます🎉

ランドセル15%OFFクーポンをプレゼント‼️
DMをお送りいたしましたのでクーポンコードをご確認ください🎁

キャンペーン詳細▼
https://t.co/ocjDtw3YkZ https://t.co/oQBa7UDEHO"
 2020 Apr 02 23:37:35	2	"RT @juntaba1: The reason why there are few deaths due to COVID -19 in Japan. 
Masks are also in short supply here. 
However, many Japanese…"
 2020 Apr 02 23:37:35	2	RT @PalmerReport: Just how badly has Trump fucked up the U.S. coronavirus response? Japan has now banned Americans from entering the countr…
 2020 Apr 02 23:37:35	2	"RT @NCT_OFFICIAL_JP: ＜NCTzen 127-JAPAN NEWS＞
アリーナツアー #NEOCITYinJAPAN で各地をまわったメンバーたちが『想い出の写真対決』に挑戦！

第1弾は大阪でのドヨンとユウタの対決の模様をお届けします♪

▼ログイン後、「…"
 2020 Apr 02 23:37:35	2	"COVID-19 Provides Use Cases for Mobile Robotics 

READ MORE: https://t.co/eIcs45czxP

#AutomatedProcesses… https://t.co/xUy3eWwHpD"
 2020 Apr 02 23:37:34	2	One of my biggest dreams is to go to Japan with my little brother
 2020 Apr 02 23:37:33	2	"CUBEBEL-1 (BSUSAT-1)
EU10S 9k6 GMSK 23:23 UTC over JAPAN https://t.co/jf5VGwokry"
 2020 Apr 02 23:37:33	2	RT @Mothified: @OneAngryGamerHD @meowfiii @Tim_at_where I'm not really sure Japan is gonna let that happen though... call me crazy, but I t…
 2020 Apr 02 23:37:33	0	"Top Countries with the most BTS songs charting on Spotify:

1. 🇻🇳Vietnam (27)🔥👑
2. 🇲🇾Malaysia (12)
3. 🇹🇭Thailand (6… https://t.co/Ixzba69HAA"
 2020 Apr 02 23:37:33	2	Do not make the name using the Kanji is a character of Japan to your children or pets? ##japanickname
 2020 Apr 02 23:37:33	1	2020/04/02 淀川河川敷枚方地区の野鳥撮影 オガワコマドリ(Ogawa Robin), Wild bird photography of Hirakata Yodogawa riverside.#birds_japan… https://t.co/kwczyQPqJI
 2020 Apr 02 23:37:32	2	RT @mi_won17: HOLY CRAP!! THIS IS LIKE SOME FALLIN FLOWER HEAVEN!!! The promo really going strong in Japan!! This is Shibuya Scramble Inter…
 2020 Apr 02 23:37:31	1	RT @sasakitoshinao: 「もし自分が新型コロナウイルスで重篤になったらどうしたいか……」を大切な人たちと話し合っておきましょうとイギリス緩和医療の専門家。人生会議の必要性がまさにこの時に。／「死について話をしておいて」　新型コロナウイルスで英医師たち ｜ BBC…
 2020 Apr 02 23:37:31	2	"勤務先の隣の桜🌸
今年もよく咲いています！ 場所: Nagoya-shi, Aichi, Japan https://t.co/DEdY1eoill"
 2020 Apr 02 23:37:30	2	"RT @BTS_jp_fanclub: [ japan fancafe ]
BTS | V
20.2.4 | Voice

🐯 How can I tell you about this feeling of... love. https://t.co/ziYwaCSipz"
 2020 Apr 02 23:37:30	1	"RT @ChiNaxxjo1: 日プインスタには、大量のお宝画像が✨✨✨
ご新規JAMさん、ぜひ見に行って❣️
#PRODUCE101_JAPAN 

#JO1 / 無限大 / INFINITY / Running / La Pa Pa Pam / YOUNG(JO1 ver.…"
 2020 Apr 02 23:37:30	2	https://t.co/xH5fH82Tzo
 2020 Apr 02 23:37:30	2	RT @mi_won17: HOLY CRAP!! THIS IS LIKE SOME FALLIN FLOWER HEAVEN!!! The promo really going strong in Japan!! This is Shibuya Scramble Inter…
 2020 Apr 02 23:37:30	1	RT @estheticful: If Japan isn’t the paradise, idk what is. https://t.co/hrkWwipsjN
 2020 Apr 02 23:37:29	2	RT @KazukiSUGIURA: Zoom使うな、どうしても使わなきゃいけない時はブラウザでやれ、デスクトップアプリはWindows・Mac問わず絶対入れるな、入れてたらアンインストールしろ、という指令が本日全社員に出されました https://t.co/QhgN2llGVk
 2020 Apr 02 23:37:28	2	"Simple Flying: A Virgin Boeing 747 Will Fire Rockets Into Space From Japan.
https://t.co/t3mpg5ugnn

via @GoogleNews"
 2020 Apr 02 23:37:28	2	RT @EIegantJapan: The Weeping Stones in Okayama, Japan https://t.co/ricXhyzgOI
 2020 Apr 02 23:37:28	2	@PabloCortes84 nah it’s valid. I watch my hero sub too cuz i’m updated with their recent episodes when they get premiered in Japan
 2020 Apr 02 23:37:26	1	"RT @vincebaltazar_: Tanginang yan, daling sabihin na ""bat dito sa japan, middle east, us, etc."" palibahasa mga privileged motherfuckers kay…"
 2020 Apr 02 23:37:26	2	RT @Narodovlastiye: 安倍政権の「一世帯2マスク配給」方針が案の定海外デビュー。これは「アベノミクスからアベノマスクへ」と題するアメリカ大手経済紙ブルームバーグの記事。布マスクは「いかなる場合でも推奨しない」というWHOの見解も交えつつ紹介。もう恥ずかしすぎる…
 2020 Apr 02 23:37:25	1	"KAT-TUNダビング③
2019
3/21おたすけJAPAN
4/1FNS番組対抗オールスター春の祭典目利き王決定戦
/26 5/3NEWSな2人中丸
8/2バズリズム
10/4,11少クラ
11/14VS嵐SP
3/14,21… https://t.co/G6i7GzKkWA"
 2020 Apr 02 23:37:25	2	RT @otokita: 足立議員 @adachiyasushi が一晩で構築したスキーム、「無利子無担保１００％政府保証事後マイナンバー紐付審査給付切替生活資金貸付制度」。貸金業者の活用で迅速に生活資金を手元に届け、マイナンバーを普及し、バラマキにもならない。後ほど文章で解説…
 2020 Apr 02 23:37:25	1	"RT @WithTheWill: It's April 3rd in Japan and it's been 4 years since Wada Kouji passed.
Digimon fans remember him well for his music &amp; the…"
 2020 Apr 02 23:37:25	1	"RT @pledis_17jp: [#SEVENTEEN JAPAN NEWS]
【重要】(更新)「SEVENTEEN カフェ 2020」 福岡会場の臨時休業及び臨時短縮営業のお知らせ
https://t.co/Tih80asHjP"
 2020 Apr 02 23:37:23	2	"RT @nct_fanclub: [127 JPN] ＜Arena Tour ‘NEO CITY : JAPAN - The Origin’＞想い出の写真対決／大阪編 (1/3)

https://t.co/fHeg8d7wrr"
 2020 Apr 02 23:37:23	1	RT @catmamaxxx: ยอดจาก Billboard Japan #Fallin_Flower ซิงเกิ้ลที่ 2 จากเซบ #SEVENTEEN 357,823 แผ่น สามแสนห้าแตกเเล้วจ้า 👏🏻👏🏻👏🏻👏🏻👏🏻 ยอดสูงก…
 2020 Apr 02 23:37:23	2	"RT @SenSanders: Number of people who have no health insurance:
 
🇰🇷South Korea: 0
🇨🇦Canada: 0
🇹🇼Taiwan: 0
🇯🇵Japan: 0
🇩🇪Germany: 0
🇸🇬Singapo…"
 2020 Apr 02 23:37:23	2	RT @NMEJAPAN: ファウンテインズ・オブ・ウェインのアダム・シュレシンジャー、追悼の声が寄せられることに | NME Japan https://t.co/DurzdaBjx2 #FountainsOfWayne
 2020 Apr 02 23:37:22	1	RT @waterparks: WHAT’S UP JAPAN. MISSED YOU. SEE YOU SOON. https://t.co/QJ9HnpEmMH
