date	label	text
 2020 Mar 26 01:14:34	2	RT @prioritiesUSA: Trump refused to take the threat of the coronavirus seriously, now he won’t take responsibility as his administration ha…
 2020 Mar 26 01:14:34	1	RT @joncoopertweets: The Trump campaign issued a cease and desist letter demanding that TV stations stop airing this ad. Watch it and you’l…
 2020 Mar 26 01:14:34	2	@gugachacra Engraçado o bozo falou hj entrevista que o Trump estava pedindo para os trabalhadores retornarem aos po… https://t.co/h0ChghNp30
 2020 Mar 26 01:14:34	1	RT @Amy_Siskind: The Trump campaign just released a cease and desist letter demanding that TV stations immediately pull this @prioritiesUSA…
 2020 Mar 26 01:14:34	2	"RT @deangloster: I'm 62. 

Apparently Trump, Glenn Beck, Britt Hume, The Federalist, and Texas Lt. Gov. Dan Patrick all suggest I should gi…"
 2020 Mar 26 01:14:34	2	RT @Jankel01: Watching @realDonaldTrump Daily update and Thanking God right now that @BarackObama Admin is Not in charge.  Can you imagine?…
 2020 Mar 26 01:14:34	2	RT @ShawnG927: Hillary strikes again! This time Hillary Clinton has been accused of plagiarizing Bill Maher, over a joke about Trump starin…
 2020 Mar 26 01:14:33	2	RT @NoahShachtman: NBC and CNN producers say they're through airing Trump's virus pressers. “We might take it from the top and then cut awa…
 2020 Mar 26 01:14:33	2	RT @prioritiesUSA: Trump refused to take the threat of the coronavirus seriously, now he won’t take responsibility as his administration ha…
 2020 Mar 26 01:14:33	1	RT @briantylercohen: The Trump campaign seriously just issued a cease and desist for this ad so I'm doing my part and sharing it as widely…
 2020 Mar 26 01:14:33	2	RT @intheMatrixxx: Trump’s Briefings Are a Ratings Hit. Should Networks Cover Them Live? https://t.co/4sU7dxSChW
 2020 Mar 26 01:14:33	2	RT @tonyschwartz: Why in the world would Trump's approval ratings rise during this period? He has never been more incompetent.
 2020 Mar 26 01:14:33	2	"RT @COsweda: Then the article says that Trump put in place a ""fake travel ban.""

Never mind that ALL honest scientists in the country are s…"
 2020 Mar 26 01:14:33	2	"RT @pvtjokerus: Translation:

Trump's numbers are going up because of them. Pull the plug. https://t.co/SftCvY6QAo"
 2020 Mar 26 01:14:33	2	"RT @nancyleong: From @rebeccaarainey @politico: ""The three states [CA, WA, NY] that President Donald Trump has formally declared coronaviru…"
 2020 Mar 26 01:14:33	2	RT @TeaPainUSA: Lethal incompetence. https://t.co/PZfBOjhEX4
 2020 Mar 26 01:14:33	2	RT @PalmerReport: CNN cuts away to Nancy Pelosi interview while Donald Trump's disastrous press conference is still going on https://t.co/s…
 2020 Mar 26 01:14:33	2	RT @prioritiesUSA: Trump refused to take the threat of the coronavirus seriously, now he won’t take responsibility as his administration ha…
 2020 Mar 26 01:14:33	2	"RT @rhonda_harbison: @realDonaldTrump https://t.co/Q6mWnRU9IJ
FACT CHECK: Despite Trump's Claim, U.S. Isn't ... - NPR"
 2020 Mar 26 01:14:33	2	RT @prioritiesUSA: Trump refused to take the threat of the coronavirus seriously, now he won’t take responsibility as his administration ha…
 2020 Mar 26 01:14:33	1	RT @Amy_Siskind: The Trump campaign just released a cease and desist letter demanding that TV stations immediately pull this @prioritiesUSA…
 2020 Mar 26 01:14:33	2	RT @brianbeutler: “[Trump] downplayed the seriousness of this crisis for weeks and continues to delay the mobilization of national resource…
 2020 Mar 26 01:14:33	2	RT @ericswalwell: “Anyone advising the end of social distancing now needs to fully understand what the country will look like if we do that…
