date	label	text
 2020 Mar 28 03:26:58	1	No soy virólogo y en esto todos aprendemos a medida que pasa el tiempo. Cada país actúa de acuerdo a como el virus… https://t.co/hMUcDWlO49
 2020 Mar 28 03:26:58	2	I keep having a horrible thought: early in the year someone informed Trump that BIG cities would be the WORST hit b… https://t.co/5nDMSNqkMV
 2020 Mar 28 03:26:58	0	@HillaryClinton How will you fare if you catch the virus?
 2020 Mar 28 03:26:58	0	@NetworksManager Ugh. I pray this virus does not result in a decline of our national security.
 2020 Mar 28 03:26:58	2	RT @solehsolihun: pada akhirnya, yang membahayakan kita bukan cuma virus corona, tapi orang-orang ngeyel yang gak mau ngikutin saran untuk…
 2020 Mar 28 03:26:58	1	Ou simplesmente porque não tem como comparar vírus de famílias diferentes 🤷🏻‍♀️ https://t.co/kTEZuTKeAZ
 2020 Mar 28 03:26:58	2	RT @gaiathicy: pessoal acha que dia 31 o virus vai se autodestruir é
 2020 Mar 28 03:26:58	2	RT @CT_Bergstrom: 1. This is going to be a personal thread about the experience of working at the intersection of infectious disease modeli…
 2020 Mar 28 03:26:58	2	RT @chrislhayes: We are quite literally doing a worse job of containing the virus than any other country on earth.
 2020 Mar 28 03:26:58	0	@KTLAMorningNews He should have all the right to close down gun stores.  Especially, due to this virus, there will… https://t.co/u1cSfihO0F
 2020 Mar 28 03:26:58	0	@grindingdude Do you mean China Virus?
 2020 Mar 28 03:26:58	2	RT @WalshFreedom: Wake the FUCK up America. You’re stuck at home, you lost your job, your wife is sick, your mom died, all because Donald T…
 2020 Mar 28 03:26:58	0	Lawan-Cegah Covid-19.Kita Harus Menang &amp; Bertahan. Kita tak mungkin hidup berdampingan dgn Virus ini. Yg ada adlh p… https://t.co/L1EFtZpuws
 2020 Mar 28 03:26:58	2	RT @itsJeffTiedrich: IT'S NOT A GERM. IT'S NOT A FLU. WE KNOW IT'S A VIRUS. PLEASE DO NOT TAKE MEDICAL ADVICE FROM THE GIBBERING IMBECILE W…
 2020 Mar 28 03:26:58	2	"RT @landergaileeee: This is it!!! 
Lord, give them strength and knowledge as they fight against the virus! ❤❤❤ #DrFabunan
📷ctto. https://t.…"
 2020 Mar 28 03:26:58	0	"Pulang khawatir bawa virus, 
Tak pulang rindu"
 2020 Mar 28 03:26:58	0	@charbrown20 @BreakthruDiva Their uk pm has the virus but they have the energy to post nasty comments. It explains their pettiness
 2020 Mar 28 03:26:58	1	RT @zehdeabreu: Bozo dividiu o país em dois: os que querem viver pois sabem que podem morrer e os que vão morrer achando que o vírus não ma…
 2020 Mar 28 03:26:58	2	RT @LMKMovieManiac: Very crisp &amp; powerful appeal by @vijayantony. He also recommends that we see #Contagion &amp; #Virus to understand the seve…
 2020 Mar 28 03:26:57	1	"RT @vickytedije: 1. ¿Sirve el alcohol en gel? ¿Viaja por el aire el virus? ¿Usamos guantes? ¿Por dónde entra el virus?
NO TE TOQUES LA CARA…"
 2020 Mar 28 03:26:57	1	@thxrri Nunca julguei ele hahshahaiahaiah to na ucpel, mas to pensando em migrar pra federal, porém to esperando o… https://t.co/qKePYKTuh8
 2020 Mar 28 03:26:57	0	U.K.’s Credit Rating Cut By Fitch Because of All the Money It’s Spending to Fight the Virus
 2020 Mar 28 03:26:57	0	RT @ShamsiAli2: China mensuply alat-alat bohongan ke negara2 lain yang kena Corona. Terima kasih Trump telah menyebut virus ini virus China…
 2020 Mar 28 03:26:57	2	"RT @NazrudinRahman: This is not about freedom per se. It is about solidarity to collectively beat a virus we don’t have a vaccine for.

Typ…"
 2020 Mar 28 03:26:57	2	"RT @BorisJohnson: Over the last 24 hours I have developed mild symptoms and tested positive for coronavirus.

I am now self-isolating, but…"
 2020 Mar 28 03:26:57	2	"Infosys said that it has terminated the services of the employee who had made an ""inappropriate post"" on social med… https://t.co/dO8OAvF09s"
 2020 Mar 28 03:26:57	0	Not a virus, but the inability of the Italian government to achieve the massacre of old Italians.
 2020 Mar 28 03:26:57	2	"@EPICSKY11 @jcsk8 Sim, serão todos da aviação a sofrer
Aliás todos os trabalhadores formais ou informais, além dos… https://t.co/1QjRQJOKVK"
 2020 Mar 28 03:26:57	1	"RT @joaodoceu: quem quer trabalhar e pegar o vírus vai

quem quer ficar e casa e perder o emprego fica

aí depois quem ficou em casa e perd…"
 2020 Mar 28 03:26:57	2	RT @kneeyenz: 😳 It’s so crazy how #BlackLightning S3 is talking about a virus and is under occupation.
 2020 Mar 28 03:26:57	0	@KunUzNews Ularni osha joyda tekshirish kerak virus yuqan yuqmaganini.
 2020 Mar 28 03:26:57	2	RT @SolomonYue: China blames German Chancellor Merkel's Sept 2019 visit to #Wuhan for #WuhanVirus outbreak. #CCP really worries about the🌐d…
 2020 Mar 28 03:26:57	2	RT @WalshFreedom: FUCK Trump. 30-40 minutes into this stupid briefing and not one FUCKING word from him about all the Americans who are sic…
 2020 Mar 28 03:26:57	0	This virus is spreading like wildfire. Friends of mine have it, friend’s parents both have it and are hospitalized.… https://t.co/hWU4x3zN9F
 2020 Mar 28 03:26:56	2	"RT @TrumpWarRoom: Media Deliberately Distort Trump’s Wuhan Virus Advice To Governors About Ventilator Purchases https://t.co/PgxuiKwEbX

Ne…"
 2020 Mar 28 03:26:56	2	"RT @gudogud: -A Thread-

'Teori Konspirasi Virus Corona (Covid-19), berasal dari Pasar Wuhan Atau Lab dekat pasar Wuhan? Atau mungkin senja…"
 2020 Mar 28 03:26:56	2	RT @GovInslee: I’m not going to let personal attacks from the president distract me from what matters: beating this virus and keeping Washi…
