name	rawTweet	date
Steve Beynon	All candidates will complete the ACFT https://t.co/WJFAo6zahP	Feb 03 2020
NYC GRANDMA	RT @mil_ops: Watching Cano AB Honduras this week and we have two acft that pop out. 1. Dyass AFB - troop rotation - same one we see at GTMO…	Feb 03 2020
Noetic333	RT @mil_ops: Watching Cano AB Honduras this week and we have two acft that pop out. 1. Dyass AFB - troop rotation - same one we see at GTMO…	Feb 03 2020
TM	@WTF_Judge He’s gonna struggle with acft.	Feb 03 2020
Imperialist Cubicle Mercenary	@mikejason73 @A_W_Little That would/will/may (?) be the purpose of the SRT. The ACFT is a better gauge of fitness,… https://t.co/EAisGFHBmc	Feb 03 2020
🇺🇸Sonja ⭐⭐⭐🇺🇸	RT @mil_ops: Watching Cano AB Honduras this week and we have two acft that pop out. 1. Dyass AFB - troop rotation - same one we see at GTMO…	Feb 03 2020
Imperialist Cubicle Mercenary	@A_W_Little @mikejason73 I fully agree that PT should prepare Soldiers for combat. What we should see is that the S… https://t.co/IxQ0vqOeSv	Feb 03 2020
❌Spence Spencer⭐⭐⭐❌	RT @USArmy: The Ceremonial Percussion section of The United States Army Band was inspired by the @WestPointBand Hellcat's #ArmyFit video!…	Feb 03 2020
Chris	@SigO26BVelma @mikejason73 wish they had simply ditched the PT uniform all together. Physical fitness and combat re… https://t.co/yGeYMiqJck	Feb 03 2020
yscbatis	INFO F. TMP: 26. WIND: 270/15-25, ALL XW RWY 35. MAX XW 10KTS RWY 30 ALL XW RWY 35. EXP ILS APCH RWY 35. RWY 35 &amp; R… https://t.co/sWxNW5fen7	Feb 03 2020
Adorable Deplorable⭐⭐⭐	RT @mil_ops: Watching Cano AB Honduras this week and we have two acft that pop out. 1. Dyass AFB - troop rotation - same one we see at GTMO…	Feb 03 2020
Grace Anne 	RT @USArmy: The Ceremonial Percussion section of The United States Army Band was inspired by the @WestPointBand Hellcat's #ArmyFit video!…	Feb 03 2020
