name	rawTweet	date
Accurate Nicole	"RT @USArmy: How far can you throw a 10-pound medicine ball?

The standing power throw tests how far a #Soldier can throw a 10-pound medicin…"	Feb 11 2020
Accurate Nicole	RT @USArmy: #ACFT testing equipment has arrived at Fort Stewart Hunter Army Airfield and the #Soldiers of @3rd_Infantry wasted no time gett…	Feb 11 2020
Accurate Nicole	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Feb 11 2020
Accurate Nicole	RT @USArmy: The Ceremonial Percussion section of The United States Army Band was inspired by the @WestPointBand Hellcat's #ArmyFit video!…	Feb 11 2020
Accurate Nicole	RT @USArmy: Senior leaders have approved a modification of the ACFT that includes three aerobic test events for selected #Soldiers with per…	Feb 11 2020
Ryan	@SkylarRaz Can’t wait for all the new profiles and medboards once the ACFT comes around	Feb 11 2020
Latia Cannaday	"RT @2IBCTWarriors: #MotivationMonday
The first event of the ACFT is the 3-Rep Deadlift. This event is a muscular strength test that mimics…"	Feb 11 2020
Ernest Poley	RT @FORSCOM: #ArmyStrong💪 Minimize your risk of @USArmy Combat #Fitness Test (#ACFT) injury by #training smart | @USAPHC:   https://t.co/OL…	Feb 11 2020
The Bald Monk	@lisa_jaster @Occidentaljihad There are myriad of problems with the ACFT that need to be resolved before it rolls o… https://t.co/4X2E45R0OD	Feb 11 2020
UTC ROTC	The next perfect score on the Army Combat Fitness Test coming from Mocs Battalion? We think so! #Army #ROTC… https://t.co/YLqKvz3IAH	Feb 11 2020
The Bald Monk	@Occidentaljihad @lisa_jaster I am just hoping the ACFT ends pencil whipping of PT tests for Field Grade officers a… https://t.co/kHfX95olRp	Feb 11 2020
Lisa Jaster	@thebaldmonk @Occidentaljihad I love the ACFT because it is neither gender NOR age normalized. I hate the idea that… https://t.co/CbXu79itDP	Feb 11 2020
ʝσรɦ💮	Absolutely KILLED the APFT in AIT!!! 😎 Too bad we have to go off our ACFT 🙄	Feb 11 2020
Highlander cats	@TheWTFNation Do you think that the Army will keep the new ACFT with the current failure rates? Is it really an exc… https://t.co/B7I6x0iuZM	Feb 11 2020
Wishful1⭐️⭐️⭐️	RT @mil_ops: PRISON WATCH SITREP:  this one popped onto the board for Cano on the 6th. Always curious when I see a USAF acft operation as a…	Feb 11 2020
Ghost Feet ن	@DaveinTexas @TheH2 I think he should lead by example and take the ACFT, jusssss’ sayin’	Feb 11 2020
Sol Sukut 20+C+B+M+20 & Alive at Conception	"#fitness
3miles #running with 6 max effort 400s
#ACFT circuits 5 sets:
3rep Dead lift 240/310/330/330/330
10x24"" bo… https://t.co/TSr2Zo3tx1"	Feb 11 2020
China Daily	#PLA's naval and air forces organized warships, bombers, fighters, and early-warning aircraft in a patrol on Monday… https://t.co/grC1Chkw4i	Feb 11 2020
🐾MilSpecOpsMonkey🐾	@DirkCarter8 @kbenz333 @5sahandful yes, that is a regular acft. makes a few runs a week. you will also see flts fro… https://t.co/B119fbYCnO	Feb 11 2020
MiMi	RT @ChinaDaily: #PLA's naval and air forces organized warships, bombers, fighters, and early-warning aircraft in a patrol on Monday to test…	Feb 11 2020
lapouce	The BVR now avlbl with Gripen are gen ahead of R73.  So, India needs to modernise the SU 30/Mig 29/29K with western… https://t.co/E3L3W8ZESU	Feb 11 2020
🍿🎬#Dark2Light🌓	RT @mil_ops: PRISON WATCH SITREP:  this one popped onto the board for Cano on the 6th. Always curious when I see a USAF acft operation as a…	Feb 11 2020
AVS	Does anyone know if they are changing the RPFT at RGR School to bring it in line with the ACFT?	Feb 11 2020
Eric Dennis	"RT @USArmy: The #ACFT stressing you out? 

@USAPHC has tips to ""train smart:""

✅ Gradually increase the challenge to your body over time
✅…"	Feb 11 2020
Mrs. C 🦸‍♀️⭐⭐⭐🇺🇸	RT @mil_ops: PRISON WATCH SITREP:  this one popped onto the board for Cano on the 6th. Always curious when I see a USAF acft operation as a…	Feb 11 2020
Laurence	RT @mil_ops: PRISON WATCH SITREP:  this one popped onto the board for Cano on the 6th. Always curious when I see a USAF acft operation as a…	Feb 11 2020
hunny girl a👑	Taking the ACFT tomorrow..... kinda 100% just not fucking ready	Feb 11 2020
Seven St Andre ⭐️⭐️⭐️	RT @mil_ops: @Beer_Parade that is the base commander acft. it’s a BE20 and he uses it to get around. you will see a few of them - all GTMO…	Feb 11 2020
Adorable Deplorable⭐⭐⭐	RT @mil_ops: PRISON WATCH SITREP:  this one popped onto the board for Cano on the 6th. Always curious when I see a USAF acft operation as a…	Feb 11 2020
DiaboliQue	RT @mil_ops: PRISON WATCH SITREP:  this one popped onto the board for Cano on the 6th. Always curious when I see a USAF acft operation as a…	Feb 11 2020
Ellen Moser	RT @mil_ops: @Beer_Parade that is the base commander acft. it’s a BE20 and he uses it to get around. you will see a few of them - all GTMO…	Feb 11 2020
