name	rawTweet	date
GMlog via GeigerNT	RT @PANationalGuard: The @USArmy recently updated its physical readiness training -- or PRT -- mobile app to give Soldiers a leg up on the…	Jan 29 2020
Donald Tyler	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 29 2020
KOAA News5	The army is moving into a new decade with a new way to evaluate soldiers’ strength and endurance. It’s called the A… https://t.co/lRPAXTtgfV	Jan 29 2020
Denver7 News	"The U.S. Army is changing its approach to physical fitness with a new test called the Army Combat Fitness Test.
https://t.co/Y1PNeH51GE"	Jan 29 2020
Mark Benson	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 29 2020
Modern War Institute	"""The Army routinely deploys its soldiers when they are at their lowest level of physical fitness. This is not only… https://t.co/CXSiVIXhpg"	Jan 29 2020
abs	RT @ArmyKYTN: The Army Combat Fitness Test is upon us. It replaces the APFT which was the @USArmy standard for many years. It's given Soldi…	Jan 29 2020
Taylor McNeal	"RT @ARCYBER: Army Combat Fitness Test app rolls out to help Soldiers get fit, protect their data
@ArmyNewsService @BradingARNEWS https://t.…"	Jan 29 2020
がっつ@強いぞ！日本！	RT @PANationalGuard: The @USArmy recently updated its physical readiness training -- or PRT -- mobile app to give Soldiers a leg up on the…	Jan 29 2020
Christy Foster	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 29 2020
PA National Guard	The @USArmy recently updated its physical readiness training -- or PRT -- mobile app to give Soldiers a leg up on t… https://t.co/gi2E3GSBIp	Jan 29 2020
Ohreally	RT @ArmyKYTN: The Army Combat Fitness Test is upon us. It replaces the APFT which was the @USArmy standard for many years. It's given Soldi…	Jan 29 2020
GMlog via GeigerNT	RT @ArmyKYTN: The Army Combat Fitness Test is upon us. It replaces the APFT which was the @USArmy standard for many years. It's given Soldi…	Jan 29 2020
Q 🎅2	"RT @ARCYBER: Army Combat Fitness Test app rolls out to help Soldiers get fit, protect their data
@ArmyNewsService @BradingARNEWS https://t.…"	Jan 29 2020
Nashville BN	The Army Combat Fitness Test is upon us. It replaces the APFT which was the @USArmy standard for many years. It's g… https://t.co/wu5IzzJ20k	Jan 29 2020
Army Cyber Command	"Army Combat Fitness Test app rolls out to help Soldiers get fit, protect their data
@ArmyNewsService @BradingARNEWS https://t.co/xnZm02disx"	Jan 29 2020
Albert Fabio	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 29 2020
Marty713 🇺🇲 🌟🌟🌟👊	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 29 2020
Michael Berard	RT @WarInstitute: Army units' pursuit of tactical readiness too often comes at the cost of soldiers' physical fitness. That's a problem tha…	Jan 29 2020
Modern War Institute	Army units' pursuit of tactical readiness too often comes at the cost of soldiers' physical fitness. That's a probl… https://t.co/zOrGwJjFOZ	Jan 29 2020
Power Marsh	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 29 2020
Terence Bramich	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 29 2020
Private	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 29 2020
Marcy McFall	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 29 2020
LadyWarAnon⭐⭐⭐	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 29 2020
Modern War Institute	The Army Has a Physical Fitness Problem, Part 1: Eight Myths that Weaken Combat Readiness https://t.co/T3rkKaWUKR	Jan 29 2020
工藤剛士(Takeshi Qudo)	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 29 2020
Power G Amas	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 29 2020
Adventure Fitness	2017 High Quality Men's Outdoor Boots Desert Army Military Tactical Boots Combat With Zipper Hiking Boots Black Tan… https://t.co/UT69JNRLpw	Jan 29 2020
