name	rawTweet	date
James Cheek	@cheshirekatTV I feel like I need to revert to a real office chair because I hate sitting straight legged. If I can… https://t.co/vIqfLFMrNB	Jan 31 2020
James Cheek	@cheshirekatTV I feel like I need to revert to a real office chair because I hate sitting straight legged. If I can… https://t.co/vIqfLFMrNB	Jan 31 2020
SavvyChavi	The ACFT has about an 80% fail rate for females due to the leg tuck. We just need to be able to do one. ONE. It’s o… https://t.co/LkWgF05e4J	Jan 31 2020
Anne Ziety	@mandco_fashion Straight leg so they’d tuck into my long boots without being “lumpy”, and in this weather, layers!	Jan 31 2020
Yup	I can pass the high physical demand test where I have to move 30 100bl rounds and pull a 275bl sled but I couldn't… https://t.co/aGf0iFn5vx	Jan 31 2020
B-Ez	@d0tslash Just take off your right shoe and tuck it under you leg to match him “palm to palm”	Jan 31 2020
King	@z_m_r_a @Alessalucill3 @5m_crafts I advise you to stop. Tuck it in the pant leg that’s what I do	Jan 31 2020
About_Half 🆘	@Accidental_E9 @broadcastmike @TRADOC To be honest, as a 230lb, 48-yr old man in the Moderate Zone, the only real i… https://t.co/ElzA03hP5q	Jan 30 2020
what doing?	@s8n @Twitter Just tuck it into your trouser leg	Jan 30 2020
Christine Turner	Check out what I just added to my closet on Poshmark: NYDJ Straight Leg Jeans Lift Tuck Technology.… https://t.co/7fexE9KfBw	Jan 30 2020
John-Carlos Estrada	🏋️⛑️NEW ARMY WORKOUT: After 40 years, the @USArmy is updating their fitness test for recruits October 1st. Could yo… https://t.co/bg9UUcSsvy	Jan 30 2020
Eleanor	"RT @CMemmel: Chellsie Challenge 54
We used the leg lift bars to hold. You can also use the bases of the beam. This is about control and bod…"	Jan 30 2020
Justin	@calgarypuckcom @probey360 @AzorcanGlobal @NHLPlayerSafety @Fan960Steinberg Exactly. No argument that Gio does have… https://t.co/kszKu4zSn6	Jan 30 2020
Benjamin Hyle	@evo_kositz Leg tuck and lift! Get those down, every Army female I know struggles with them.	Jan 30 2020
come at me, bro	RT @doubtingfrances: @hotbloodedeq @UnemployedEng The Labrador Leg Tuck™️, the strategic nose-under-thigh tuck. Ugh. She’s perfect. 1000000…	Jan 30 2020
frankie the anxious	@hotbloodedeq @UnemployedEng The Labrador Leg Tuck™️, the strategic nose-under-thigh tuck. Ugh. She’s perfect. 10000000/10	Jan 30 2020
Latoria	i got the leg tuck down #winning	Jan 30 2020
Scuttle🍑	"RT @CMemmel: Chellsie Challenge 54
We used the leg lift bars to hold. You can also use the bases of the beam. This is about control and bod…"	Jan 30 2020
officialbudhole	C’mon. J Tuck has a leg made of gold. https://t.co/DuVNb2KGfS	Jan 30 2020
Christine Turner	Check out what I just added to my closet on Poshmark: NYDJ Straight Leg Jeans Lift Tuck Technology.… https://t.co/L4xY3Qw5Vz	Jan 30 2020
Lady Gwyn of Locksley	Hobbles off to see Friar Tuck so he can check the wound on her leg.	Jan 29 2020
Sandra	"RT @CMemmel: Chellsie Challenge 54
We used the leg lift bars to hold. You can also use the bases of the beam. This is about control and bod…"	Jan 29 2020
jared	@jess______ie I tuck my right leg in almost always	Jan 29 2020
Dianne Dietrich	"RT @CMemmel: Chellsie Challenge 54
We used the leg lift bars to hold. You can also use the bases of the beam. This is about control and bod…"	Jan 29 2020
