name	rawTweet	date
About_Half 🆘	@Accidental_E9 @broadcastmike @TRADOC To be honest, as a 230lb, 48-yr old man in the Moderate Zone, the only real i… https://t.co/ElzA03hP5q	Jan 30 2020
what doing?	@s8n @Twitter Just tuck it into your trouser leg	Jan 30 2020
Christine Turner	Check out what I just added to my closet on Poshmark: NYDJ Straight Leg Jeans Lift Tuck Technology.… https://t.co/7fexE9KfBw	Jan 30 2020
John-Carlos Estrada	🏋️⛑️NEW ARMY WORKOUT: After 40 years, the @USArmy is updating their fitness test for recruits October 1st. Could yo… https://t.co/bg9UUcSsvy	Jan 30 2020
Eleanor	"RT @CMemmel: Chellsie Challenge 54
We used the leg lift bars to hold. You can also use the bases of the beam. This is about control and bod…"	Jan 30 2020
Justin	@calgarypuckcom @probey360 @AzorcanGlobal @NHLPlayerSafety @Fan960Steinberg Exactly. No argument that Gio does have… https://t.co/kszKu4zSn6	Jan 30 2020
Benjamin Hyle	@evo_kositz Leg tuck and lift! Get those down, every Army female I know struggles with them.	Jan 30 2020
come at me, bro	RT @doubtingfrances: @hotbloodedeq @UnemployedEng The Labrador Leg Tuck™️, the strategic nose-under-thigh tuck. Ugh. She’s perfect. 1000000…	Jan 30 2020
frankie the anxious	@hotbloodedeq @UnemployedEng The Labrador Leg Tuck™️, the strategic nose-under-thigh tuck. Ugh. She’s perfect. 10000000/10	Jan 30 2020
Latoria	i got the leg tuck down #winning	Jan 30 2020
Scuttle🍑	"RT @CMemmel: Chellsie Challenge 54
We used the leg lift bars to hold. You can also use the bases of the beam. This is about control and bod…"	Jan 30 2020
officialbudhole	C’mon. J Tuck has a leg made of gold. https://t.co/DuVNb2KGfS	Jan 30 2020
Christine Turner	Check out what I just added to my closet on Poshmark: NYDJ Straight Leg Jeans Lift Tuck Technology.… https://t.co/L4xY3Qw5Vz	Jan 30 2020
