name	rawTweet	date
1080906851896590336	RT @jihadwatchRS: India: 12 Muslims found hiding in mosques to avoid coronavirus restrictions https://t.co/UnPV9KcG5A	 2020 Mar 25 21:08:00
2745860225	RT @felipeneto: Min da Saúde diz q a Índia botou 1,2 bilhão de pessoas em quarentena. Espanha, Inglaterra, Nova York, todas sem estrutura d…	 2020 Mar 25 21:08:00
2945730780	https://t.co/LiB0dYnMDL	 2020 Mar 25 21:07:59
358608763	RT @ndtv: Rahul Gandhi demands tax breaks for industries to prevent job loss. https://t.co/CgD4hfjj7R https://t.co/01qyKYVuOr	 2020 Mar 25 21:07:59
912920981374615552	"@narendramodi @MoHFW_INDIA
@PMOIndia 
#राजस्थान_सतर्क_है #COVID19
#21daylockdown #StayHome https://t.co/Jr3NAR1lI8"	 2020 Mar 25 21:07:59
187927269	"RT @AbhishBanerj: If Modi had said there will be no lockdown, do u think liberals would be praising right now?

Liberals were waiting to fe…"	 2020 Mar 25 21:07:59
232824234	RT @GitanjaliDas89: #Delhi make this viral please! A vet is not being allowed to treat animals! @ArvindKejriwal @govt_delhi @DelhiPolice @D…	 2020 Mar 25 21:07:59
1657355071	@ZhangSimons @business of course.. so does India.. what im trying to say is that we are so interconnecte together a… https://t.co/kEVYUE0jYe	 2020 Mar 25 21:07:59
2509917452	"""China’s policy toward India in the past two to three years has shifted...The reason for this move was the drastic… https://t.co/Jj5OPRGEBU"	 2020 Mar 25 21:07:59
1107939057533763585	RT @Indumakalktchi: Arjunsampath thanks super star!  for his patriotic statement! *The only country for Hindu's  in the world is India, her…	 2020 Mar 25 21:07:58
1087717681061601283	"RT @NorbertElekes: Coronavirus outbreak, India:

   March 25:  621 cases
   March 20: 249 cases
   March 15:  110 cases
   March 10:  65 ca…"	 2020 Mar 25 21:07:58
37968638	RT @missellie_o: Wish my anxiety would just fuck off	 2020 Mar 25 21:07:58
1242917209728405504	RT @RiaRevealed: India let's say good bye to our democracy n welcome slavery 2.0	 2020 Mar 25 21:07:57
865462492452933632	"RT @gradenceforever: ""ความหิวอาจจะฆ่าเราตายก่อนไวรัสเสียอีก""

เสียงจากคนกลุ่มล่างในอินเดีย เมื่อรัฐบาลประกาศปิดประเทศและไม่มีมาตรการรองรับ…"	 2020 Mar 25 21:07:57
2429256612	"RT @htTweets: #COVID2019 | The government temporarily suspends the collection of toll at all toll plaza across India

Follow updates https:…"	 2020 Mar 25 21:07:56
4016131451	RT @HSIGlobal: PROGRESS! 👏 Mizoram, a state in northeastern India, has moved one step closer to ending its dog meat trade by amending the l…	 2020 Mar 25 21:07:56
1242919703363772417	"RT @Ramesh_R13: Most Liked Motion Posters In India 
#Vıswasam 551K (LifeTime) 
#RoudramRanamRudhiram - 310K (7 Hrs) 

#RamCharan 
#SeethaRA…"	 2020 Mar 25 21:07:56
807058641262116865	RT @vikaskyogi: Message from one of my friends Ankit, who is in Italy right now. Please listen and save India... Pray for him also... https…	 2020 Mar 25 21:07:56
933727745502310400	"RT @manuchao: TO ALL NATARANI CREW, friends of Alliance and all friends of Ahmedabad INDIA.
Little remembering of those magik days together…"	 2020 Mar 25 21:07:55
1226859575158030338	"@mitchellvii Lets list em
1: Leadership&amp; Followership
2:India minds its own business
3:India sens aids 2 d needy co… https://t.co/rzQ9j5XCIi"	 2020 Mar 25 21:07:55
3043009123	RT @Varmasdantuluri: Corona has proven that India's biggest problem is not Illiteracy, It's stupidity of Literate people 🤦‍♂️	 2020 Mar 25 21:07:55
2906589007	"RT @gradenceforever: ""ความหิวอาจจะฆ่าเราตายก่อนไวรัสเสียอีก""

เสียงจากคนกลุ่มล่างในอินเดีย เมื่อรัฐบาลประกาศปิดประเทศและไม่มีมาตรการรองรับ…"	 2020 Mar 25 21:07:54
742639747449769984	RT @AdityaRajKaul: Chinese Media which cannot even write an alphabet without approval of the state and never dared to question their master…	 2020 Mar 25 21:07:54
