name	rawTweet	date
46309146	"RT @SenSanders: Number of people who have no health insurance:
 
🇰🇷South Korea: 0
🇨🇦Canada: 0
🇹🇼Taiwan: 0
🇯🇵Japan: 0
🇩🇪Germany: 0
🇸🇬Singapo…"	 2020 Apr 02 23:40:53
835077009923452928	HAPPY JAPAN DEBUT ANNIVERSARY 🧸 pls let them bring out more japanese songs fanmu @fantagiomusic_ @jp_offclastro… https://t.co/dAXohMOTUu	 2020 Apr 02 23:40:53
1016094619	@stillreal2us On YouTube a weird one. Warrior vs Slaughter in Tokyo Japan.  Search it. Never knew	 2020 Apr 02 23:40:53
3311535451	RT @ReutersJapan: 東芝、きょうにも東証１部復帰の申請へ＝報道 https://t.co/Khi1Cx1Pop	 2020 Apr 02 23:40:52
85022380	RT @ReutersJapan: 緊急事態宣言、必要なら躊躇なく決断実行＝安倍首相 https://t.co/mpYU6WMDXO	 2020 Apr 02 23:40:52
45289289	"RT @Alex_AniPac: @yurikageyama I honestly don't get this idea. 
My impression is that every household in Japan already has a bag of masks,…"	 2020 Apr 02 23:40:51
983741706603585537	"RT @BTS_jp_fanclub: [ japan fancafe ]
 200402 | Suga &amp; Jungkook
↘ Tasting food Challenge (豆腐よう \ Tofu) 

📎https://t.co/81WBrtiMjw https://t…"	 2020 Apr 02 23:40:51
1205854612873302016	RT @EIegantJapan: The Weeping Stones in Okayama, Japan https://t.co/ricXhyzgOI	 2020 Apr 02 23:40:51
330958950	"ラスト・オブ・アス2の発売を延期すると発表した。

ぎゃぁぁぁぁぁああああああああああああ！！！！

予定狂ったー！"	 2020 Apr 02 23:40:50
630234199	RT @katsuyatakasu: 「死について話をしておいて」　新型コロナウイルスで英医師たち | 2020/3/31 - BBC NEWS JAPAN https://t.co/TwkPoHc6Bd	 2020 Apr 02 23:40:50
387972942	RT @cnet_japan: Zoom、機能追加を90日間凍結--セキュリティ問題の解決に集中 https://t.co/ljEyt9H0hl	 2020 Apr 02 23:40:49
394121101	RT @okabaeri9111: @JunSakura_Japan 軍が #pedo を捕まえている https://t.co/eppcGhcp6F	 2020 Apr 02 23:40:48
568507370	"RT @ooiyouichi: https://t.co/312pgIHlZX

全中　中止！！！"	 2020 Apr 02 23:40:48
3148258632	東芝、きょうにも東証１部復帰の申請へ＝報道 ＮＨＫなど複数の報道によると、経営再建を進める東芝は、３日にも東京証券取引所の２部から１部へ復帰するための申請を行う  https://t.co/E58k3vZX9n	 2020 Apr 02 23:40:48
1099242757795663873	"RT @hamakei: 人との接触「1日で17分」まで・・・データ解析で警告：横浜市立大データサイエンス学部・佐藤彰洋教授、ARIGATO JAPANライトアップ

【横浜市 新型コロナウイルス関連情報まとめ】行政からの最新情報、イベント情報、施設・学校休業他：4月3日8時0…"	 2020 Apr 02 23:40:47
977327179439603712	RT @Tigergeorgie: @Venomous_Gramma @sunlorrie @nypost There are no masks available, Taiwan, South Korea &amp; Japan has everyone wearing them..…	 2020 Apr 02 23:40:47
1024324609183600640	"RT @OzraeliAvi: Japan’s Deputy Prime Minister says the World Health Organization should be renamed the “China Health Organization”.

RETWEE…"	 2020 Apr 02 23:40:47
851087300	RT @PalmerReport: Just how badly has Trump fucked up the U.S. coronavirus response? Japan has now banned Americans from entering the countr…	 2020 Apr 02 23:40:47
2193355739	"RT @9HUrne5nPVQ7p5h: Happy morning Twitterworld!🌸🍀🌸🍀🌸🍀🌸🍀🌸🍀🌸🍀
゜☆♫•·⋅✩ ✩⋅·•♫☆　゜゜☆♫•·⋅✩ ✩⋅·•♫☆　゜゜☆♫•·⋅✩
The morning sun that comes from the ch…"	 2020 Apr 02 23:40:46
911816118079066117	"RT @m_kac: Cocomi、父・木村拓哉について語る。
父からは”常に前進すること”を教えられました。生きていれば嫌な出来事にも遭遇するのは仕方ないけれど、そういうときに言い訳するのではなく、常に前進する父は本当に格好いい」
『VOGUE JAPAN』2020年5月号"	 2020 Apr 02 23:40:46
461240616	i want to live in japan and eat all their umai pocky-sans	 2020 Apr 02 23:40:46
